LAMBDA,G,G_err,BP,BP_err,RP,RP_err
3522.5,9.12839534e-02,2.27908793e-02,4.95525423e-01,1.78213384e-02,0.00,0.00
3525,9.14838499e-02,2.27291392e-02,4.95257191e-01,1.77164913e-02,0.00,0.00
3527.5,9.16837464e-02,2.26674115e-02,4.94963146e-01,1.76098449e-02,0.00,0.00
3530,9.18836428e-02,2.26056963e-02,4.94643286e-01,1.75014017e-02,0.00,0.00
3532.5,9.20651481e-02,2.25386663e-02,4.92229152e-01,1.73382886e-02,0.00,0.00
3535,9.22466533e-02,2.24716495e-02,4.89816379e-01,1.71753077e-02,0.00,0.00
3537.5,9.24281585e-02,2.24046462e-02,4.87404966e-01,1.70124599e-02,0.00,0.00
3540,9.26096637e-02,2.23376563e-02,4.84994914e-01,1.68497463e-02,0.00,0.00
3542.5,9.27199934e-02,2.22307931e-02,4.80546233e-01,1.65959723e-02,0.00,0.00
3545,9.28303231e-02,2.21239503e-02,4.76114404e-01,1.63433771e-02,0.00,0.00
3547.5,9.29406529e-02,2.20171281e-02,4.71699426e-01,1.60919625e-02,0.00,0.00
3550,9.30509826e-02,2.19103268e-02,4.67301299e-01,1.58417306e-02,0.00,0.00
3552.5,9.31149818e-02,2.17793519e-02,4.63585386e-01,1.56154206e-02,0.00,0.00
3555,9.31789810e-02,2.16484033e-02,4.59874845e-01,1.53895295e-02,0.00,0.00
3557.5,9.32429802e-02,2.15174815e-02,4.56169677e-01,1.51640604e-02,0.00,0.00
3560,9.33069794e-02,2.13865868e-02,4.52469882e-01,1.49390162e-02,0.00,0.00
3562.5,9.33088882e-02,2.12171625e-02,4.49078738e-01,1.47046914e-02,0.00,0.00
3565,9.33107970e-02,2.10477765e-02,4.45674269e-01,1.44696548e-02,0.00,0.00
3567.5,9.33127058e-02,2.08784297e-02,4.42256475e-01,1.42339136e-02,0.00,0.00
3570,9.33146145e-02,2.07091232e-02,4.38825356e-01,1.39974758e-02,0.00,0.00
3572.5,9.33194001e-02,2.05390111e-02,4.36759316e-01,1.38308848e-02,0.00,0.00
3575,9.33241857e-02,2.03689417e-02,4.34671139e-01,1.36630471e-02,0.00,0.00
3577.5,9.33289713e-02,2.01989161e-02,4.32560823e-01,1.34939686e-02,0.00,0.00
3580,9.33337569e-02,2.00289354e-02,4.30428370e-01,1.33236555e-02,0.00,0.00
3582.5,9.32716380e-02,1.98133319e-02,4.27471647e-01,1.30949964e-02,0.00,0.00
3585,9.32095191e-02,1.95977931e-02,4.24480117e-01,1.28644241e-02,0.00,0.00
3587.5,9.31474001e-02,1.93823212e-02,4.21453779e-01,1.26319547e-02,0.00,0.00
3590,9.30852812e-02,1.91669185e-02,4.18392635e-01,1.23976054e-02,0.00,0.00
3592.5,9.30156894e-02,1.89427261e-02,4.14966935e-01,1.21702107e-02,0.00,0.00
3595,9.29460975e-02,1.87186125e-02,4.11524567e-01,1.19420374e-02,0.00,0.00
3597.5,9.28765057e-02,1.84945804e-02,4.08065533e-01,1.17131004e-02,0.00,0.00
3600,9.28069139e-02,1.82706330e-02,4.04589831e-01,1.14834158e-02,0.00,0.00
3602.5,9.27449499e-02,1.80393438e-02,4.00818335e-01,1.12623009e-02,0.00,0.00
3605,9.26829859e-02,1.78081554e-02,3.97045114e-01,1.10412971e-02,0.00,0.00
3607.5,9.26210219e-02,1.75770718e-02,3.93270168e-01,1.08204176e-02,0.00,0.00
3610,9.25590579e-02,1.73460971e-02,3.89493496e-01,1.05996767e-02,0.00,0.00
3612.5,9.24487770e-02,1.70643866e-02,3.84352394e-01,1.02918834e-02,0.00,0.00
3615,9.23384961e-02,1.67828498e-02,3.79208699e-01,9.98446477e-03,0.00,0.00
3617.5,9.22282152e-02,1.65014959e-02,3.74062412e-01,9.67747208e-03,0.00,0.00
3620,9.21179344e-02,1.62203341e-02,3.68913533e-01,9.37096313e-03,0.00,0.00
3622.5,9.20711752e-02,1.59589147e-02,3.65105607e-01,9.15154586e-03,0.00,0.00
3625,9.20244161e-02,1.56977035e-02,3.61296420e-01,8.93244871e-03,0.00,0.00
3627.5,9.19776570e-02,1.54367111e-02,3.57485972e-01,8.71370166e-03,0.00,0.00
3630,9.19308978e-02,1.51759488e-02,3.53674263e-01,8.49533775e-03,0.00,0.00
3632.5,9.18640293e-02,1.48817283e-02,3.49042472e-01,8.22726959e-03,0.00,0.00
3635,9.17971608e-02,1.45878378e-02,3.44409878e-01,7.95996044e-03,0.00,0.00
3637.5,9.17302922e-02,1.42942978e-02,3.39776483e-01,7.69349468e-03,0.00,0.00
3640,9.16634237e-02,1.40011303e-02,3.35142287e-01,7.42796852e-03,0.00,0.00
3642.5,9.16482627e-02,1.37068066e-02,3.31220814e-01,7.19830075e-03,0.00,0.00
3645,9.16331017e-02,1.34129682e-02,3.27293633e-01,6.96928317e-03,0.00,0.00
3647.5,9.16179407e-02,1.31196476e-02,3.23360744e-01,6.74101923e-03,0.00,0.00
3650,9.16027797e-02,1.28268804e-02,3.19422146e-01,6.51362671e-03,0.00,0.00
3652.5,9.16235054e-02,1.25119848e-02,3.15151518e-01,6.26577432e-03,0.00,0.00
3655,9.16442310e-02,1.21979179e-02,3.10875456e-01,6.01945704e-03,0.00,0.00
3657.5,9.16649566e-02,1.18847453e-02,3.06593961e-01,5.77491781e-03,0.00,0.00
3660,9.16856822e-02,1.15725397e-02,3.02307033e-01,5.53244103e-03,0.00,0.00
3662.5,9.17280427e-02,1.12261727e-02,2.97181642e-01,5.24346397e-03,0.00,0.00
3665,9.17704032e-02,1.08813362e-02,2.92051848e-01,4.95887379e-03,0.00,0.00
3667.5,9.18127637e-02,1.05381805e-02,2.86917650e-01,4.67952858e-03,0.00,0.00
3670,9.18551243e-02,1.01968753e-02,2.81779048e-01,4.40648721e-03,0.00,0.00
3672.5,9.19873620e-02,9.86320601e-03,2.77055547e-01,4.17535804e-03,0.00,0.00
3675,9.21195998e-02,9.53202549e-03,2.72339921e-01,3.95153402e-03,0.00,0.00
3677.5,9.22518375e-02,9.20360241e-03,2.67632170e-01,3.73621561e-03,0.00,0.00
3680,9.23840753e-02,8.87824278e-03,2.62932295e-01,3.53084021e-03,0.00,0.00
3682.5,9.25773598e-02,8.55010202e-03,2.58550299e-01,3.34780469e-03,0.00,0.00
3685,9.27706443e-02,8.22625427e-03,2.54173242e-01,3.17715029e-03,0.00,0.00
3687.5,9.29639288e-02,7.90722702e-03,2.49801124e-01,3.02089281e-03,0.00,0.00
3690,9.31572133e-02,7.59362787e-03,2.45433944e-01,2.88128838e-03,0.00,0.00
3692.5,9.33674219e-02,7.26195011e-03,2.40406061e-01,2.74316728e-03,0.00,0.00
3695,9.35776306e-02,6.93859004e-03,2.35386598e-01,2.63407854e-03,0.00,0.00
3697.5,9.37878393e-02,6.62476575e-03,2.30375553e-01,2.55754641e-03,0.00,0.00
3700,9.39980480e-02,6.32189750e-03,2.25372928e-01,2.51634691e-03,0.00,0.00
3702.5,9.43135053e-02,6.05555751e-03,2.21737192e-01,2.51213250e-03,0.00,0.00
3705,9.46289626e-02,5.80264608e-03,2.18107591e-01,2.52662719e-03,0.00,0.00
3707.5,9.49444199e-02,5.56499438e-03,2.14484124e-01,2.55941450e-03,0.00,0.00
3710,9.52598771e-02,5.34463839e-03,2.10866792e-01,2.60970853e-03,0.00,0.00
3712.5,9.55820125e-02,5.12492905e-03,2.06233415e-01,2.69721644e-03,0.00,0.00
3715,9.59041478e-02,4.93204544e-03,2.01609914e-01,2.80982560e-03,0.00,0.00
3717.5,9.62262831e-02,4.76924343e-03,1.96996289e-01,2.94447754e-03,0.00,0.00
3720,9.65484184e-02,4.63969069e-03,1.92392541e-01,3.09812883e-03,0.00,0.00
3722.5,9.69230386e-02,4.55131671e-03,1.87841465e-01,3.26143413e-03,0.00,0.00
3725,9.72976587e-02,4.50170310e-03,1.83304088e-01,3.43744356e-03,0.00,0.00
3727.5,9.76722789e-02,4.49213430e-03,1.78780410e-01,3.62411184e-03,0.00,0.00
3730,9.80468990e-02,4.52286449e-03,1.74270432e-01,3.81969237e-03,0.00,0.00
3732.5,9.84856757e-02,4.59717155e-03,1.70095917e-01,3.99975464e-03,0.00,0.00
3735,9.89244524e-02,4.70671340e-03,1.65938087e-01,4.18462425e-03,0.00,0.00
3737.5,9.93632290e-02,4.84910276e-03,1.61796942e-01,4.37351846e-03,0.00,0.00
3740,9.98020057e-02,5.02154616e-03,1.57672480e-01,4.56577272e-03,0.00,0.00
3742.5,1.00319342e-01,5.21679690e-03,1.54250041e-01,4.72764362e-03,0.00,0.00
3745,1.00836679e-01,5.43292338e-03,1.50839542e-01,4.89108575e-03,0.00,0.00
3747.5,1.01354016e-01,5.66753786e-03,1.47440982e-01,5.05585963e-03,0.00,0.00
3750,1.01871353e-01,5.91844209e-03,1.44054362e-01,5.22175515e-03,0.00,0.00
3752.5,1.02480150e-01,6.16802685e-03,1.41787713e-01,5.35138545e-03,0.00,0.00
3755,1.03088947e-01,6.42740721e-03,1.39521109e-01,5.48176230e-03,0.00,0.00
3757.5,1.03697745e-01,6.69544481e-03,1.37254551e-01,5.61283344e-03,0.00,0.00
